Jordan Poole ,Point Guard,Golden State Warriors,3,"3,901,399",16.8,10.3,232226.131,NO,Up-And-Comer
Andrew Wiggins ,Small Forward,Golden State Warriors,8,"33,616,770",15.8,15.7,2127643.671,NO,Average Starter
Klay Thompson ,Shooting Guard,Golden State Warriors,9,"40,600,080",15,15.2,2706672,NO,Rotation Player
Draymond Green ,Power Forward,Golden State Warriors,10,"25,806,468",13.9,13.5,1856580.432,NO,Key Roleplayer
Gary Payton II ,Point Guard,Golden State Warriors,6,"8,300,000",9.6,-,864583.3333,NO,Key Roleplayer
Kevon Looney ,Center,Golden State Warriors,7,"8,000,000",9.4,9.8,851063.8298,NO,Key Roleplayer
Andre Iguodala ,Small Forward,Golden State Warriors,18,"1,836,090",9.3,-,197429.0323,NO,Key Roleplayer
Jonathan Kuminga ,Power Forward,Golden State Warriors,1,"5,739,840",6.9,3.7,831860.8696,NO,Project
Donte DiVincenzo,Shooting Guard,Golden State Warriors,4,"4,500,000",5.1,9.3,882352.9412,YES,Rotation Player
JaMychal Green,Power Forward,Golden State Warriors,8,"1,836,090",4,2.3,459022.5,NO,Scrub
Moses Moody,Shooting Guard,Golden State Warriors,1,"3,740,160",2.2,1.3,1700072.727,NO,Project
Jabari Smith Jr.,Power Forward,Houston Rockets,0,"8,882,640",-,1.1,#VALUE!,YES,Great Prospect
Tari Eason,Power Forward,Houston Rockets,0,"3,359,160",-,5.4,#VALUE!,YES,Good Prospect
TyTy Washington Jr.,Point Guard,Houston Rockets,0,"2,210,040",-,0.8,#VALUE!,YES,Ok Prospect
Frank Kaminsky,Center,Houston Rockets,7,"1,836,090",14.3,2.5,128397.9021,YES,Rotation Player
Kevin Porter Jr.,Point Guard,Houston Rockets,3,"3,217,631",6.5,7.1,495020.1538,NO,Rotation Player
Kenyon Martin Jr.,Small Forward,Houston Rockets,2,"1,782,621",4.2,6,424433.5714,NO,Project
Usman Garuba,Power Forward,Houston Rockets,1,"2,471,160",4.2,0.7,588371.4286,YES,Project
Boban Marjanovic,Center,Houston Rockets,7,"3,500,000",3.9,4.8,897435.8974,YES,Scrub
Jae'Sean Tate,Small Forward,Houston Rockets,2,"7,065,217",3.9,0.9,1811594.103,NO,Rotation Player
Alperen Sengun,Center,Houston Rockets,1,"3,375,360",3.7,10.3,912259.4595,NO,Up-And-Comer
Jalen Green,Shooting Guard,Houston Rockets,1,"9,441,840",2.9,6.4,3255806.897,NO,Project
Willie Cauley-Stein,Center,Houston Rockets,7,"2,463,490",2.8,-,879817.8571,YES,Defensive Specialist
Josh Christopher,Shooting Guard,Houston Rockets,1,"2,372,160",1.9,-1.1,1248505.263,NO,Project
Daishen Nix,Point Guard,Houston Rockets,1,"1,563,518",0.4,1.9,3908795,YES,Project
Andrew Nembhard,Shooting Guard,Indiana Pacers,0,"2,244,111",-,4.6,#VALUE!,YES,Ok Prospect
Bennedict Mathurin,Small Forward,Indiana Pacers,0,"6,586,800",-,11.6,#VALUE!,YES,Good Prospect
George Hill ,Point Guard,Indiana Pacers,14,"4,000,000",11.5,4.9,347826.087,NO,Scrappy Veteran
Myles Turner,Center,Indiana Pacers,7,"35,069,500",11.3,16.1,3103495.575,YES,Key Roleplayer
Tyrese Haliburton,Point Guard,Indiana Pacers,2,"4,215,120",11.1,20,379740.5405,NO,Future All-Star
Jalen Smith,Power Forward,Indiana Pacers,2,"4,670,160",8.4,6.3,555971.4286,YES,Rotation Player
Buddy Hield,Small Forward,Indiana Pacers,6,"21,177,750",8.1,13.8,2614537.037,NO,Average Starter
Chris Duarte,Small Forward,Indiana Pacers,1,"3,936,960",7.7,2.8,511293.5065,NO,Rotation Player
T.J. McConnell,Point Guard,Indiana Pacers,7,"8,100,000",5.9,5.7,1372881.356,YES,Rotation Player
Isaiah Jackson,Center,Indiana Pacers,1,"2,573,760",5.8,4.7,443751.7241,YES,Up-And-Comer
Daniel Theis,Center,Indiana Pacers,5,"8,694,369",4.5,-,1932082,NO,Rotation Player
Oshae Brissett,Small Forward,Indiana Pacers,3,"1,846,738",3.9,4.9,473522.5641,NO,Project
James Johnson,Power Forward,Indiana Pacers,13,"1,836,090",3.7,-,496240.5405,NO,Way Past His Prime
Jordan Nwora,Small Forward,Indiana Pacers,2,"3,000,000",3.6,1.1,833333.3333,NO,Project
Aaron Nesmith,Small Forward,Indiana Pacers,2,"3,804,360",2.5,5.3,1521744,NO,Rotation Player
Kawhi Leonard,Small Forward,Los Angeles Clippers,10,"39,344,900",-,16.8,#VALUE!,YES,Key Roleplayer
Jason Preston,Point Guard,Los Angeles Clippers,0,"1,563,518",-,-,#VALUE!,YES,Marginal Prospect
Paul George ,Shooting Guard,Los Angeles Clippers,12,"42,492,492",19.7,20.5,2156979.289,NO,All-Star
Russell Westbrook ,Point Guard,Los Angeles Clippers,14,"47,063,478",10.7,12.8,4398455.888,NO,Scrub
Terance Mann ,Shooting Guard,Los Angeles Clippers,3,"1,930,681",9.9,6.1,195018.2828,NO,Rotation Player
Ivica Zubac ,Center,Los Angeles Clippers,6,"10,123,457",8.7,7.8,1163615.747,NO,Rotation Player
Robert Covington ,Power Forward,Los Angeles Clippers,9,"12,307,692",8.3,5,1482854.458,NO,Key Roleplayer
Mason Plumlee,Center,Los Angeles Clippers,9,"9,080,417",8.2,7.8,1107367.927,NO,Rotation Player
Norman Powell ,Shooting Guard,Los Angeles Clippers,7,"16,758,621",8.1,9.2,2068965.556,NO,Rotation Player
